*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=outregdisp_v2-groundfloor
*Date=20:17:08
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
286;;;45.7581;-95.0232;0;Bottom;Copper Fill280
287;;;91.5797;-87.327;0;Bottom;Copper Fill48
288;;;26.7478;-28.4299;0;Bottom;Via449
289;;;39.5986;-72.595;0;Bottom;Copper Fill89
290;;;33.7058;-94.7438;0;Bottom;Copper Fill52
291;;;80.137;-25.8082;0;Bottom;Copper Fill189
292;;;18.9992;-76.3034;0;Bottom;Copper Fill85
293;;;88.4936;-75.7954;0;Bottom;Copper Fill12
294;;;82.4484;-91.9244;0;Bottom;Copper Fill54
295;;;11.1125;-37.5176;0;Bottom;Copper Fill246
296;220;1206 [SMD];72.4466;-20.0258;0;Top;R58
297;;;43.3197;-73.9412;0;Bottom;Copper Fill260
298;;;68.6816;-37.6446;0;Bottom;Copper Fill159
299;;;59.3975;-44.5388;0;Bottom;Via362
300;;;84.963;-28.0434;0;Bottom;Copper Fill182
301;;;63.0936;-69.2803;0;Bottom;Copper Fill41
302;220;1206 [SMD];33.6286;-96.1425;0;Top;R1
303;220;1206 [SMD];22.2395;-31.1016;0;Top;R71
304;;;30.6236;-56.5298;0;Bottom;Via423
305;;;15.1344;-11.2236;0;Bottom;Via489
306;;;23.7236;-95.0486;0;Bottom;Copper Fill51
307;;;55.557;-13.8175;0;Bottom;Via413
308;;;75.8952;-13.7432;0;Bottom;Copper Fill214
309;;;82.5754;-66.5752;0;Bottom;Copper Fill102
310;;;9.3853;-1.5766;0;Bottom;Copper Fill258
311;;;62.73;-9.52041;0;Bottom;Via405
312;;;76.6826;-6.5042;0;Bottom;Copper Fill223
313;;;55.557;-34.1372;0;Bottom;Via393
314;;;9.0805;-98.5792;0;Bottom;Copper Fill20
315;220;1206 [SMD];72.4466;-53.0458;0;Top;R39
316;;;85.3186;-93.7786;0;Bottom;Copper Fill55
317;;;72.9488;-88.1779;0;Bottom;Copper Fill47
318;;;5.7404;-55.8056;0;Bottom;Copper Fill125
319;;;79.883;-58.5234;0;Bottom;Copper Fill118
320;;;6.1976;-66.9054;0;Bottom;Copper Fill99
321;;;49.1236;-76.5574;0;Bottom;Copper Fill79
322;;;53.4162;-96.9536;0;Bottom;Copper Fill1
323;;;60.3576;-45.5164;0;Bottom;Via363
324;;;62.7253;-27.9926;0;Bottom;Copper Fill268
325;;;86.8934;-57.4058;0;Bottom;Copper Fill124
326;;;49.8856;-71.0964;0;Bottom;Copper Fill87
327;;;77.8256;-50.2684;0;Bottom;Copper Fill136
328;;;21.5081;-92.9269;0;Bottom;Via476
329;;;61.4541;-26.8164;0;Bottom;Via387
330;;;5.7404;-76.1256;0;Bottom;Copper Fill82
331;;;5.7404;-15.1656;0;Bottom;Copper Fill209
332;220;1206 [SMD];72.4466;-4.7858;0;Top;R51
333;;;75.6651;-78.4415;0;Bottom;Via344
334;;;95.3501;-15.8941;0;Bottom;Via399
335;;;60.2459;-65.9915;0;Bottom;Via337
336;;;15.6096;-86.1349;0;Bottom;Via306
337;;;49.8348;-62.7398;0;Bottom;Copper Fill109
338;;;17.3482;-47.4998;0;Bottom;Copper Fill139
339;;;86.5378;-54.3832;0;Bottom;Copper Fill128
340;;;8.1788;-97.6775;0;Bottom;Copper Fill21
341;100nF;100 mil [THT, multilayer];71.1908;-94.4085;-90;Bottom;C2
342;;;66.8869;-59.5541;0;Bottom;Via460
343;;;55.4453;-74.9323;0;Bottom;Via338
344;;;29.6282;-58.9559;0;Bottom;Via421
345;220;1206 [SMD];72.4466;-47.9658;0;Top;R36
346;;;29.6335;-50.0291;0;Bottom;Via453
347;220;1206 [SMD];22.2395;-53.9616;0;Top;R59
348;;;12.9119;-22.0892;0;Bottom;Via429
349;;;26.7407;-57.7549;0;Bottom;Via456
350;220;1206 [SMD];22.2395;-38.7216;0;Top;R73
351;;THT;85.1241;-77.855;-90;Bottom;display-4
352;;;63.1952;-28.4879;0;Bottom;Copper Fill269
353;220;1206 [SMD];22.2395;-51.4216;0;Top;R61
