*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PC_v2-groundfill
*Date=14:13:06
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
134;;;3.5814;-37.9748;0;Bottom;Copper Fill70
135;;;53.0733;-74.4238;0;Bottom;Copper Fill123
136;;;96.2914;-40.5148;0;Bottom;Copper Fill69
137;;DIP (Dual Inline) [THT];16.276;-51.2991;90;Bottom;74LS161-1
138;;;76.2762;-3.7483;0;Bottom;Copper Fill113
139;;;93.7514;-35.5618;0;Bottom;Copper Fill169
140;;THT;35.326;-6.21408;-90;Bottom;J37
141;;;77.1525;-2.8466;0;Bottom;Copper Fill213
142;;;73.3933;-49.9382;0;Bottom;Copper Fill115
143;;;86.0044;-67.134;0;Bottom;Copper Fill18
144;;;2.94103;-3.03908;0;Bottom;Hole26
145;;;91.8409;-44.9492;0;Bottom;Via311
146;;;82.2325;-2.8466;0;Bottom;Copper Fill105
147;;;50.5333;-49.9382;0;Bottom;Copper Fill119
148;;;75.057;-73.5475;0;Bottom;Copper Fill219
149;;;76.2762;-6.2883;0;Bottom;Copper Fill212
150;;;41.656;-63.4002;0;Bottom;Copper Fill26
151;;;84.7725;-7.1646;0;Bottom;Copper Fill106
152;;;9.9568;-60.5046;0;Bottom;Copper Fill38
153;;;15.0114;-4.9548;0;Bottom;Copper Fill176
154;;;50.5333;-71.833;0;Bottom;Copper Fill126
155;;;4.8133;-49.9382;0;Bottom;Copper Fill131
156;;;79.6925;-7.1646;0;Bottom;Copper Fill114
157;;;61.976;-57.9392;0;Bottom;Copper Fill49
158;;;16.256;-63.4002;0;Bottom;Copper Fill20
159;;;46.736;-77.3448;0;Bottom;Copper Fill143
160;;;48.006;-78.6148;0;Bottom;Copper Fill142
161;;;50.546;-81.1548;0;Bottom;Copper Fill140
162;;;59.436;-63.4002;0;Bottom;Copper Fill29
163;;;84.7725;-2.8466;0;Bottom;Copper Fill104
164;;;39.4462;-30.4818;0;Bottom;Copper Fill167
165;;;73.3933;-71.833;0;Bottom;Copper Fill120
166;;;96.2914;-35.4348;0;Bottom;Copper Fill171
167;;;61.976;-63.4002;0;Bottom;Copper Fill30
168;100nF;100 mil [THT, multilayer];27.706;-51.9341;-90;Bottom;C17
169;;THT;16.276;-60.8241;-90;Bottom;J33
170;;THT;81.046;-6.21408;-90;Bottom;VCC
171;;;96.2406;-80.0118;0;Bottom;Copper Fill9
172;;THT;4.84604;-37.9641;0;Bottom;jmp.cond
173;;;82.2325;-7.1646;0;Bottom;Copper Fill210
174;;DIP (Dual Inline) [THT];16.276;-69.7141;-90;Bottom;74LS173-1
175;;;90.1192;-29.7579;0;Bottom;Copper Fill202
176;;THT;45.8391;-43.2134;0;Bottom;J51
