*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=io-decoder_10x10cm
*Date=17:37:17
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
160;;1206 [SMD];19.6021;-12.2581;-90;Top;LED28
161;;;62.7819;-52.6181;0;Bottom;Via36
162;;THT;95.167;-55.7931;0;Bottom;J9
163;;;42.4622;-8.72785;0;Bottom;Via74
164;;;18.9669;-53.2531;0;Bottom;Via13
165;;;53.2569;-37.3782;0;Bottom;Via99
166;;;31.0319;-56.4281;0;Bottom;Via14
167;;;77.3872;-8.80292;0;Bottom;Via54
168;220;1206 [SMD];74.8471;-18.0482;-90;Top;R7
169;;;62.1472;-8.80292;0;Bottom;Via48
170;;THT;13.252;-3.08811;-90;Bottom;J1
171;;;56.4319;-29.7582;0;Bottom;Via28
172;;;89.4519;-57.0632;0;Bottom;Via30
173;;;17.0619;-74.8431;0;Bottom;Via41
174;;;43.0969;-46.2682;0;Bottom;Via19
175;;;12.6169;-27.2182;0;Bottom;Via82
176;;1206 [SMD];59.6071;-12.2581;-90;Top;LED13
177;;;47.5422;-8.72785;0;Bottom;Via76
178;220;1206 [SMD];47.5421;-17.8981;-90;Top;R17
179;;;55.1619;-25.9482;0;Bottom;Via101
180;;;92.3682;-39.142;0;Bottom;TXT1
181;;;53.2569;-39.9182;0;Bottom;Via98
182;;;67.2272;-8.80292;0;Bottom;Via50
183;;1206 [SMD];51.9871;-12.3332;-90;Top;LED16
184;220;1206 [SMD];87.5471;-17.9731;-90;Top;R2
185;;;31.0319;-48.8081;0;Bottom;Via10
186;;1206 [SMD];54.5271;-12.3332;-90;Top;LED15
187;;;57.0672;-8.80292;0;Bottom;Via46
188;;1206 [SMD];11.9821;-12.2581;-90;Top;LED31
189;;DIP (Dual Inline) [THT];58.972;-67.2231;0;Bottom;74LS139
190;;;87.5472;-8.80292;0;Bottom;Via58
191;;1206 [SMD];57.0671;-12.3332;-90;Top;LED14
192;100nF;100 mil [THT, multilayer];36.747;-67.2231;0;Bottom;C2
193;;THT;43.732;-3.08811;90;Bottom;J2
194;220;1206 [SMD];9.44215;-17.9731;-90;Top;R32
195;;THT;33.572;-3.08811;90;Bottom;J4
196;220;1206 [SMD];77.3871;-18.0482;-90;Top;R6
